ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-09-20,202.79400739408163,192.08283921674237,208.90966830293337,197.0326364690392,208.49269130550175,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-2.4084754914550204,-2.4084754914550204,-2.4084754914550204,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.983012667318875,-0.983012667318875,-0.983012667318875,-1.3501558414183494,-1.3501558414183494,-1.3501558414183494,0.0,0.0,0.0,200.3855319026266
2025-09-21,203.0122600852419,192.29750239944562,209.31740951028243,197.22310132241023,208.79611036815808,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-2.3580613383773197,-2.3580613383773197,-2.3580613383773197,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9830139350939596,-0.9830139350939596,-0.9830139350939596,-1.2997404205655645,-1.2997404205655645,-1.2997404205655645,0.0,0.0,0.0,200.65419874686458
2025-09-22,203.23051277640232,193.005131072026,210.5787115352935,197.4135661757814,209.0286516925654,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9245163691038515,-0.9245163691038515,-0.9245163691038515,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.38352681463981214,0.38352681463981214,0.38352681463981214,-1.2327362010258682,-1.2327362010258682,-1.2327362010258682,0.0,0.0,0.0,202.30599640729847
2025-09-23,203.4487654675626,193.48259566728152,211.11595694180292,197.59563456855275,209.26051268014697,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9072031991915384,-0.9072031991915384,-0.9072031991915384,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3202801743028971,0.3202801743028971,0.3202801743028971,-1.15217639077664,-1.15217639077664,-1.15217639077664,0.0,0.0,0.0,202.54156226837105
2025-09-24,203.6670181587229,193.72174681510384,211.9323504676824,197.75469742282633,209.49237366772854,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.7575584617359661,-0.7575584617359661,-0.7575584617359661,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3789727728334253,0.3789727728334253,0.3789727728334253,-1.061224251851596,-1.061224251851596,-1.061224251851596,0.0,0.0,0.0,202.90945969698694
2025-09-25,203.88527084988328,194.7778870677615,212.255078792129,197.9369676726325,209.72423465531028,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.5373141790858722,-0.5373141790858722,-0.5373141790858722,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.5010810541298294,0.5010810541298294,0.5010810541298294,-0.963088250497906,-0.963088250497906,-0.963088250497906,0.0,0.0,0.0,203.3479566707974
2025-09-26,204.1035235410437,194.51725478051577,213.10121000273892,198.1192379224387,209.956095642892,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.5540802942631624,-0.5540802942631624,-0.5540802942631624,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3821657865093447,0.3821657865093447,0.3821657865093447,-0.8609390980547114,-0.8609390980547114,-0.8609390980547114,0.0,0.0,0.0,203.54944324678053
2025-09-27,204.321776232204,193.64422201547424,211.96492472824474,198.26738921292022,210.1879566304736,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.8161504532301977,-1.8161504532301977,-1.8161504532301977,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9830126673193048,-0.9830126673193048,-0.9830126673193048,-0.7578308031930973,-0.7578308031930973,-0.7578308031930973,0.0,0.0,0.0,202.5056257789738
2025-09-28,204.54002892336442,194.54014505075426,211.66770212298755,198.38432328131105,210.4198176180553,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-1.7149486073168798,-1.7149486073168798,-1.7149486073168798,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.9830139350923919,-0.9830139350923919,-0.9830139350923919,-0.6566276895066924,-0.6566276895066924,-0.6566276895066924,0.0,0.0,0.0,202.82508031604755
2025-09-29,204.7582816145247,195.77688401919855,213.61464414792135,198.58878318687442,210.65167860563687,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.2517192847820875,-0.2517192847820875,-0.2517192847820875,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3835268146414648,0.3835268146414648,0.3835268146414648,-0.5599391167057567,-0.5599391167057567,-0.5599391167057567,0.0,0.0,0.0,204.5065623297426
2025-09-30,204.97653430568496,195.96006405211784,214.01471842508326,198.7932430924378,210.90272037925664,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.22509019441208705,-0.22509019441208705,-0.22509019441208705,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.3202801743029047,0.3202801743029047,0.3202801743029047,-0.47006338599719605,-0.47006338599719605,-0.47006338599719605,0.0,0.0,0.0,204.7514441112729
2025-10-01,205.19478699684538,196.17705603140007,214.17792911942726,198.9970819396033,211.18110175399403,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,-0.08527622866259167,-0.08527622866259167,-0.08527622866259167,-0.07530698271779561,-0.07530698271779561,-0.07530698271779561,0.37897277283313296,0.37897277283313296,0.37897277283313296,-0.38894201877792905,-0.38894201877792905,-0.38894201877792905,0.0,0.0,0.0,205.1095107681828
