ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,SMA_50,SMA_50_lower,SMA_50_upper,Volume,Volume_lower,Volume_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-07-13,150.7278795684784,209.84896426834342,229.31975450038695,147.1937186120464,153.9534981558963,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,69.15354053369148,69.15354053369148,69.15354053369148,89.05144866557738,89.05144866557738,89.05144866557738,-26.451190188382263,-26.451190188382263,-26.451190188382263,6.553282056496361,6.553282056496361,6.553282056496361,0.0,0.0,0.0,219.88142010216987
2025-07-14,150.76761124659208,248.02808648906228,266.9888748825553,147.19253397577674,154.01899461392298,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,106.39101399950219,106.39101399950219,106.39101399950219,89.05144866557738,89.05144866557738,89.05144866557738,10.682606997392046,10.682606997392046,10.682606997392046,6.656958336532769,6.656958336532769,6.656958336532769,0.0,0.0,0.0,257.1586252460943
2025-07-15,150.8073429247058,247.5132657144756,266.81149994663497,147.20272071174327,154.08374920713004,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,106.4207889026756,106.4207889026756,106.4207889026756,89.05144866557738,89.05144866557738,89.05144866557738,10.634155954036896,10.634155954036896,10.634155954036896,6.73518428306132,6.73518428306132,6.73518428306132,0.0,0.0,0.0,257.2281318273814
2025-07-16,150.8470746028195,247.18066754665762,267.0662897580255,147.21069104642817,154.1485038003371,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,106.35376029960972,106.35376029960972,106.35376029960972,89.05144866557738,89.05144866557738,89.05144866557738,10.515271044179057,10.515271044179057,10.515271044179057,6.787040589853271,6.787040589853271,6.787040589853271,0.0,0.0,0.0,257.2008349024292
2025-07-17,150.8868062809332,246.8245925122535,267.0460708191991,147.21703078242612,154.21325839354418,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,106.30506317427981,106.30506317427981,106.30506317427981,89.05144866557738,89.05144866557738,89.05144866557738,10.441561993099903,10.441561993099903,10.441561993099903,6.81205251560252,6.81205251560252,6.81205251560252,0.0,0.0,0.0,257.191869455213
2025-07-18,150.92653795904693,246.71609155282394,266.4833253978602,147.2298900278824,154.2780129867513,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,106.49044737654404,106.49044737654404,106.49044737654404,89.05144866557738,89.05144866557738,89.05144866557738,10.628780011989601,10.628780011989601,10.628780011989601,6.810218698977044,6.810218698977044,6.810218698977044,0.0,0.0,0.0,257.416985335591
2025-07-19,150.96626963716062,209.78223307250715,229.71564069022364,147.23952188707761,154.34276757995835,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,69.38229198978843,69.38229198978843,69.38229198978843,89.05144866557738,89.05144866557738,89.05144866557738,-26.451185812343443,-26.451185812343443,-26.451185812343443,6.782029136554488,6.782029136554488,6.782029136554488,0.0,0.0,0.0,220.34856162694905
2025-07-20,151.00600131527435,210.10915751965732,230.1355440012084,147.25211659516262,154.40752217316543,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,69.32873004783868,69.32873004783868,69.32873004783868,89.05144866557738,89.05144866557738,89.05144866557738,-26.45119018840443,-26.45119018840443,-26.45119018840443,6.728471570665731,6.728471570665731,6.728471570665731,0.0,0.0,0.0,220.334731363113
2025-07-21,151.04573299338801,247.8161066418556,266.88624771868433,147.26520291740576,154.48417225223545,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,106.38508148299707,106.38508148299707,106.38508148299707,89.05144866557738,89.05144866557738,89.05144866557738,10.682606997391092,10.682606997391092,10.682606997391092,6.651025820028589,6.651025820028589,6.651025820028589,0.0,0.0,0.0,257.4308144763851
2025-07-22,151.08546467150174,247.75145878018918,266.9837627904388,147.264233000988,154.5626777003251,88.58976640183198,88.58976640183198,88.58976640183198,0.4616822637454046,0.4616822637454046,0.4616822637454046,106.23725050782745,106.23725050782745,106.23725050782745,89.05144866557738,89.05144866557738,89.05144866557738,10.634155954026225,10.634155954026225,10.634155954026225,6.551645888223843,6.551645888223843,6.551645888223843,0.0,0.0,0.0,257.3227151793292
