ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Volume_Avg,Volume_Avg_lower,Volume_Avg_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2025-06-29,250.27796927574283,239.11193141039024,265.9587994746157,241.41382727389822,260.218981286738,4.445783528903086,4.445783528903086,4.445783528903086,1.6892024992690897,1.6892024992690897,1.6892024992690897,4.445783528903086,4.445783528903086,4.445783528903086,-3.066568120876353,-3.066568120876353,-3.066568120876353,0.30998709124235685,0.30998709124235685,0.30998709124235685,0.0,0.0,0.0,251.96717177501193,252.5564266157772
2025-06-30,250.40618289445163,243.6723982953822,270.71949383120585,241.45586069428174,260.5267489029644,4.445783528903086,4.445783528903086,4.445783528903086,6.40648911074256,6.40648911074256,6.40648911074256,4.445783528903086,4.445783528903086,4.445783528903086,1.3054806150995166,1.3054806150995166,1.3054806150995166,0.6552249667399572,0.6552249667399572,0.6552249667399572,0.0,0.0,0.0,256.8126720051942,253.0016258264347
2025-07-01,250.5343965131605,243.42207052489644,271.4139853491724,241.37355267739326,260.77296654941813,4.445783528903086,4.445783528903086,4.445783528903086,6.747095076211226,6.747095076211226,6.747095076211226,4.445783528903086,4.445783528903086,4.445783528903086,1.2946733318926058,1.2946733318926058,1.2946733318926058,1.006638215415534,1.006638215415534,1.006638215415534,0.0,0.0,0.0,257.28149158937174,253.87860093291314
2025-07-02,250.6626101318693,245.74340800615377,271.09923418803527,241.29184023872776,261.009870569956,4.445783528903086,4.445783528903086,4.445783528903086,7.04083078672544,7.04083078672544,7.04083078672544,4.445783528903086,4.445783528903086,4.445783528903086,1.2325718179317486,1.2325718179317486,1.2325718179317486,1.3624754398906052,1.3624754398906052,1.3624754398906052,0.0,0.0,0.0,257.7034409185947,254.75805615828523
2025-07-03,250.7908237505781,245.48929146675835,273.1328733622757,241.33792264033877,261.23871332438625,4.445783528903086,4.445783528903086,4.445783528903086,7.296336996673945,7.296336996673945,7.296336996673945,4.445783528903086,4.445783528903086,4.445783528903086,1.1298503724789624,1.1298503724789624,1.1298503724789624,1.7207030952918985,1.7207030952918985,1.7207030952918985,0.0,0.0,0.0,258.0871607472521,255.1980063240092
2025-07-04,250.91903736928703,244.26055842356237,272.79923257316324,241.38726912577852,261.4675560788167,4.445783528903086,4.445783528903086,4.445783528903086,7.695378047580132,7.695378047580132,7.695378047580132,4.445783528903086,4.445783528903086,4.445783528903086,1.1705594158181873,1.1705594158181873,1.1705594158181873,2.0790351028588585,2.0790351028588585,2.0790351028588585,0.0,0.0,0.0,258.61441541686713,255.65008731986214
2025-07-05,251.04725098799582,240.64307269810533,268.50952536469276,241.40465888771516,261.76381262446915,4.445783528903086,4.445783528903086,4.445783528903086,3.8141875506772225,3.8141875506772225,3.8141875506772225,4.445783528903086,4.445783528903086,4.445783528903086,-3.06656743234161,-3.06656743234161,-3.06656743234161,2.434971454115747,2.434971454115747,2.434971454115747,0.0,0.0,0.0,254.86143853867304,255.6903757116492
2025-07-06,251.17546460670465,240.83202863043232,270.6699043426196,241.40377820893193,262.0634313309497,4.445783528903086,4.445783528903086,4.445783528903086,4.165060461056527,4.165060461056527,4.165060461056527,4.445783528903086,4.445783528903086,4.445783528903086,-3.0665681208789675,-3.0665681208789675,-3.0665681208789675,2.7858450530324084,2.7858450530324084,2.7858450530324084,0.0,0.0,0.0,255.34052506776118,255.74510676469322
2025-07-07,251.30367822541345,246.59248750258595,275.4748818320748,241.4536273885194,262.307461594789,4.445783528903086,4.445783528903086,4.445783528903086,8.880139933481145,8.880139933481145,8.880139933481145,4.445783528903086,4.445783528903086,4.445783528903086,1.3054806151025748,1.3054806151025748,1.3054806151025748,3.1288757894754835,3.1288757894754835,3.1288757894754835,0.0,0.0,0.0,260.1838181588946,256.23534796701813
2025-07-08,251.43189184412236,246.98738167267797,275.4116195777893,241.46999548682365,262.52746675309453,4.445783528903086,4.445783528903086,4.445783528903086,9.20168746662261,9.20168746662261,9.20168746662261,4.445783528903086,4.445783528903086,4.445783528903086,1.2946733318896615,1.2946733318896615,1.2946733318896615,3.461230605829864,3.461230605829864,3.461230605829864,0.0,0.0,0.0,260.63357931074495,257.14857135283654
